Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Friedl, Markus; Fruehwirth, Rudolf; Ghete, Vasile Mihai; ",Search for a standard model Higgs boson produced in association with a top-quark pair and decaying to bottom quarks using a matrix element method,The European Physical Journal C,75,6,1-28,2015,Springer
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Friedl, Markus; Fruehwirth, Rudolf; Ghete, Vasile Mihai; ","Nuclear effects on the transverse momentum spectra of charged particles in pPb collisions at $$\sqrt {s_ {_\mathrm {NN}}}= 5.02$$$$\,\text {TeV} $$",The European Physical Journal C,75,5,1-25,2015,Springer
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Friedl, Markus; Fruehwirth, Rudolf; Ghete, Vasile Mihai; ",Measurements of the $\mathrm {Z} $$\mathrm {Z} $ production cross sections in the $2\mathrm {l} 2\nu $ channel in proton–proton collisions at $\sqrt {s}= 7$ and $8~\mathrm {TeV} $ and combined constraints on triple gauge couplings,arXiv preprint arXiv:1503.05467,75,10,511,2015,
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; Fruehwirth, Rudolf; ","Search for dark matter, extra dimensions, and unparticles in monojet events in proton–proton collisions at $$\sqrt {s}= 8$$$$\,{\mathrm {TeV}}\, $$",The European Physical Journal C,75,5,1-25,2015,Springer
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Friedl, Markus; Fruehwirth, Rudolf; Ghete, Vasile Mihai; ","Precise determination of the mass of the Higgs boson and tests of compatibility of its couplings with the standard model predictions using proton collisions at 7 and 8$$\,\text {TeV} $$",The European Physical Journal C,75,5,1-50,2015,Springer
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Friedl, Markus; Fruehwirth, Rudolf; Ghete, Vasile Mihai; ","Measurements of differential and double-differential Drell–Yan cross sections in proton–proton collisions at s= 8 s= 8\, TeV TeV",The European Physical Journal C,75,,1-27,2015,Springer
"CMS Collaboration; Khachatryan, V; ",Nuclear effects on the transverse momentum spectra of charged particles in pPb collisions at a nucleon-nucleon center-of-mass energy of 5.02 TeV,arXiv preprint arXiv:1502.05387,10,,,,
"Belforte, S; Candelise, Vieri; Casarsa, M; Gobbo, B; LA LICATA, Chiara; Marone, Matteo; Montanino, Damiana; Schizzi, Andrea; Umer, Tomo; Zanetti, A; ","Search for dark matter, extra dimensions, and unparticles in monojet events in proton-proton collisions at sqrt (s)= 8 TeV","THE EUROPEAN PHYSICAL JOURNAL. C, PARTICLES AND FIELDS",75,5,1-25,2015,
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, W; Bergauer, T; Dragicevic, M; Eroe, J; Friedl, M; Fruehwirth, R; Ghete, VM; ",Measurements of the Z Z Z Z production cross sections in the 2 l 2 ν 2 l 2 ν channel in proton–proton collisions at s= 7 s= 7 and 8~ TeV 8 TeV and combined constraints on triple gauge couplings,The European Physical Journal C,75,,1-26,2015,Springer
"Collaboration, CMS; ",Precise determination of the mass of the Higgs boson and tests of compatibility of its couplings with the standard model predictions using proton collisions at 7 and 8 TeV,Eur. Phys. J. C,75,,212,2015,
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Friedl, Markus; Fruehwirth, Rudolf; Ghete, Vasile Mihai; ","Constraints on parton distribution functions and extraction of the strong coupling constant from the inclusive jet cross section in pp collisions at $$\sqrt {s}= 7$$$$\,\text {TeV} $$",The European Physical Journal C,75,6,1-42,2015,Springer
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Friedl, Markus; Fruehwirth, Rudolf; Ghete, Vasile Mihai; ","Constraints on the pMSSM, AMSB model and on other models from the search for long-lived charged particles in proton–proton collisions at s= 8\, TeV s= 8 TeV",The European Physical Journal C,75,,1-29,2015,Springer
"Collaboration, CMS; ",Measurements of differential and double-differential Drell–Yan cross sections in proton–proton collisions at,Eur. Phys. J. C,75,,147,2015,Springer
"Collaboration, CMS; ",Measurement of the differential cross section for top quark pair production in pp collisions at,Eur. Phys. J. C,75,,542,2015,Springer
"CMS collaboration; CMS Collaboration; ",Precise determination of the mass of the Higgs boson and studies of the compatibility of its couplings with the standard model,,,,,2014,CMS-PAS-HIG-14-009
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; Fruehwirth, Rudolf; ","Measurement of electroweak production of two jets in association with a Z boson in proton–proton collisions at $$\sqrt {s}= 8\,\text {TeV} $$",The European Physical Journal C,75,2,1-35,2015,Springer
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; Fruehwirth, Rudolf; ",Measurement of the inclusive 3-jet production differential cross section in proton–proton collisions at 7 TeV and determination of the strong coupling constant in the TeV range,The European Physical Journal C,75,,1-24,2015,Springer
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Friedl, Markus; Fruehwirth, Rudolf; Ghete, Vasile Mihai; ","Measurement of the differential cross section for top quark pair production in pp collisions at $$\sqrt {s}= 8\,\text {TeV} $$",The European Physical Journal C,75,11,1-39,2015,Springer
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Friedl, Markus; Fruehwirth, Rudolf; Ghete, Vasile Mihai; ","Search for decays of stopped long-lived particles produced in proton–proton collisions at $$\sqrt {s}= 8\,\text {TeV} $$",The European Physical Journal C,75,4,1-22,2015,Springer
"Hollar, Jonathan; Nayak, Aruna; Bargassa, Pedrame; Beirão Da Cruz E Silva, Cristóvão; Faccioli, Pietro; Ferreira Parracho, Pedro Guilherme; Gallinaro, Michele; Lloret Iglesias, Lara; Nguyen, Federico; Rodrigues Antunes, Joao; ","Precise determination of the mass of the Higgs boson and tests of compatibility of its couplings with the standard model predictions using proton collisions at 7 and 8$\,\text {TeV} $",,,,,2015,
"CMS collaboration; ",Jet energy scale and resolution in the CMS experiment in pp collisions at 8 TeV,,,,,2017,Institute of Physics Publishing
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Aguilo, Ernest; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; ",Search for third-generation leptoquarks and scalar bottom quarks in pp collisions at $\sqrt {s}= 7\; TeV$,Journal of High Energy Physics,2012,12,1-42,2012,Springer
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for quark compositeness in dijet angular distributions from pp collisions at $\sqrt {s}= 7 {} $ TeV,Journal of High Energy Physics,2012,5,1-29,2012,Springer
"Choudhury, S; Martschei, D; Torassa, E; Gribushin, A; Weber, HA; Clare, R; Garcia-Solis, EJ; De Mattia, M; Chatrchyan, S; Dejardin, M; ","Search for anomalous production in the highly-boosted all-hadronic final state (vol 09, 029, 2012)",Journal of High Energy Physics,,3,,2014,Springer
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Measurement of the inclusive production cross sections for forward jets and for dijet events with one forward and one central jet in pp collisions at $\sqrt {s}= 7$ TeV,Journal of High Energy Physics,2012,6,1-38,2012,Springer
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for new physics in events with same-sign dileptons and b-tagged jets in pp collisions at $\sqrt {s}= 7$ TeV,Journal of High Energy Physics,2012,8,1-36,2012,Springer
"Chatrchyan, Serguei; Khachatryan, V; Sirunyan, Albert M; Tumasyan, A; Adam, W; Bergauer, T; Dragicevic, M; Erö, J; Fabjan, C; Friedl, M; ",Erratum: Search for anomalous $ t\overline {t} $ production in the highly-boosted all-hadronic final state,Journal of High Energy Physics,2014,3,1-18,2014,Springer
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for anomalous $ t\overline t $ production in the highly-boosted all-hadronic final state,Journal of High Energy Physics,2012,9,1-41,2012,Springer
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for microscopic black holes in pp collisions at $$\sqrt {s}={\text {7TeV}} $$,Journal of High Energy Physics,2012,4,1-36,2012,Springer
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for heavy bottom-like quarks in 4.9 fb− 1 of pp collisions at $\sqrt {s}= 7$ TeV,Journal of High Energy Physics,2012,5,1-30,2012,Springer
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Inclusive b-jet production in pp collisions at $\sqrt {s}= 7TeV$,Journal of High Energy Physics,2012,4,1-36,2012,Springer
"Belforte, S; Candelise, Vieri; Casarsa, M; DELLA RICCA, GIUSEPPE; Gobbo, B; Marone, Matteo; Montanino, Damiana; Penzo, A; Schizzi, Andrea; ",Measurement of the single-top-quark t-channel cross section in pp collisions at sqrt (s)= 7 TeV,,,,,2012,
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Aguilo, Ernest; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; ",Search for dark matter and large extra dimensions in monojet events in pp collisions at $\sqrt {s}={7} $ TeV,Journal of High Energy Physics,2012,9,1-37,2012,Springer
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Measurement of the production cross section for pairs of isolated photons in pp collisions at $\sqrt {s}= 7\; TeV$,Journal of High Energy Physics,2012,1,1-38,2012,Springer
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for exclusive or semi-exclusive γγ production and observation of exclusive and semi-exclusive e+ e− production in pp collisions at $\sqrt {s}= 7$ TeV,Journal of High Energy Physics,2012,11,1-35,2012,Springer
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ","Shape, transverse size, and charged-hadron multiplicity of jets in pp collisions at $\sqrt {s}= 7\; TeV$",Journal of High Energy Physics,2012,6,1-39,2012,Springer
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for leptonic decays of W′ bosons in pp collisions at $\sqrt {s}={7} $ TeV,Journal of High Energy Physics,2012,8,1-33,2012,Springer
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Aguilo, Ernest; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; ",Observation of Z decays to four leptons with the CMS detector at the LHC,Journal of High Energy Physics,2012,12,1-28,2012,Springer
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for supersymmetry in hadronic final states using M T2 in pp collisions at $\sqrt {s}= 7$ TeV,Journal of High Energy Physics,2012,10,1-40,2012,Springer
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Measurement of the underlying event activity in pp collisions at $\sqrt {s}= 0.9$ and 7 TeV with the novel jet-area/median approach,Journal of High Energy Physics,2012,8,1-34,2012,Springer
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, AM; Tumasyan, A; Adam, W; Bergauer, T; Dragicevic, M; Eroe, J; Fabjan, Christian; Friedl, Markus; ",Measurement of the cross section for production of $ b\overline b X $ decaying to muons in pp collisions at $\sqrt {s}= 7$ TeV,Journal of High Energy Physics,2012,6,1-36,2012,Springer
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Aguilo, Ernest; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; ",Search for electroweak production of charginos and neutralinos using leptonic final states in pp collisions at $\sqrt {s}= 7$ TeV,Journal of High Energy Physics,2012,11,1-47,2012,Springer
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Measurement of jet fragmentation into charged particles in pp and PbPb collisions at $\sqrt {{{s_ {\mathrm {NN}}}}}= 2.76$ TeV,Journal of High Energy Physics,2012,10,1-30,2012,Springer
"CMS collaboration; ","Search for physics beyond the standard model in events with two leptons, jets, and missing transverse momentum in pp collisions at sqrt (s)= 8 tev",arXiv preprint arXiv:1502.06031,,,,2015,
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Comparison of the Z/γ∗+ jets to γ+ jets cross sections in pp collisions at $$\sqrt {s}= 8$$ TeV,Journal of High Energy Physics,2015,10,1-46,2015,Springer
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Search for neutral color-octet weak-triplet scalar particles in proton-proton collisions at $$\sqrt {s}= 8$$ TeV,Journal of High Energy Physics,2015,9,1-37,2015,Springer
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Search for neutral MSSM Higgs bosons decaying into a pair of bottom quarks,Journal of High Energy Physics,2015,11,1-43,2015,Springer
"Khachatryan, Vardan; Sirunyan, A; Tumasyan, Armen; Adam, Wolfgang; Bergauer, T; Dragicevic, Marko; Eroe, J; Fabjan, C; Friedl, M; Fruehwirth, R; ",Measurement of the ratio of the production cross sections times branching fractions of B c±→ J/ψπ±and B±→ J/ψK±and ℬ B c±→ J/ψ π±π±π∓/ℬ B c±→ J/ψ π±$$\mathrm {\mathcal {B}}\left ({\mathrm {B}} _ {\mathrm {c}}^{\pm}\to\mathrm {J}/\psi {\pi}^{\pm}{\pi}^{\pm}{\pi}^{\mp}\right)/\mathrm {\mathcal {B}}\left ({\mathrm {B}} _ {\mathrm {c}}^{\pm}\to\mathrm {J}/\psi {\pi}^{\pm}\right) $$ in pp collisions at s= 7$$\sqrt {s}= 7$$ TeV,,,,,2015,Springer/SISSA
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Friedl, Markus; Fruehwirth, Rudolf; Ghete, Vasile Mihai; ",Searches for supersymmetry using the M T2 variable in hadronic events produced in pp collisions at 8 TeV,Journal of High Energy Physics,2015,5,1-52,2015,Springer
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Search for a light charged Higgs boson decaying to $$\mathrm {c}\overline {\mathrm {s}} $$ in pp collisions at $$\sqrt {s}= 8$$ TeV,Journal of High Energy Physics,2015,12,1-37,2015,Springer
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Search for narrow resonances in dilepton mass spectra in proton–proton collisions at s= 13TeV and combination with 8 TeV data,Physics Letters B,768,,57-80,2017,Elsevier
"Khachatryan, Vardan; Sirunyan, AM; Tumasyan, A; Adam, W; Asilar, E; Bergauer, T; Brandstetter, J; Brondolin, E; Dragicevic, M; Erö, J; ",Erratum to: Search for third-generation scalar leptoquarks in the tτ channel in proton-proton collisions at $$\sqrt {s}= 8$$ TeV,Journal of High Energy Physics,2016,11,1-20,2016,Springer
"CMS collaboration; ",Search for third-generation scalar leptoquarks in the t-tau channel in proton-proton collisions at sqrt (s)= 8 TeV,arXiv preprint arXiv:1503.09049,,,,2015,
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Searches for third-generation squark production in fully hadronic final states in proton-proton collisions at $$\sqrt {s}= 8$$ TeV,Journal of High Energy Physics,2015,6,1-65,2015,Springer
"Khachatryan, V; Adžić, Petar; Ekmedžić, Marko; Reković, Vladimir; Đorđević, Miloš; Milenović, Predrag; ","Erratum: Search for third-generation scalar leptoquarks in the t tau channel in proton-proton collisions at root s= 8 TeV (vol 7, 042, 2015)",Journal of High Energy Physics,,11,,2016,
"Basegmez, Suzan; Beluffi, Camille; Bruno, Giacomo; Castello, Roberto; Caudron, Adrien; Ceard, Ludivine; Da Silveira, Gustavo Gil; Delaere, Christophe; Du Pree, Tristan; Favart, Denis; ",Search for physics beyond the standard model in dilepton mass spectra in proton-proton collisions at sqrt (s)= 8 TeV,Journal of High Energy Physics,1504,,025,2015,
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Measurement of the underlying event activity using charged-particle jets in proton-proton collisions at $$\sqrt {s}= 2.76$$ TeV,Journal of High Energy Physics,2015,9,1-33,2015,Springer
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Search for a charged Higgs boson in pp collisions at $$\sqrt {s}= 8$$ TeV,Journal of High Energy Physics,2015,11,1-64,2015,Springer
"Khachatryan, Vardan; Sirunyan, AM; Tumasyan, A; Adam, Wolfgang; Bergauer, T; Dragicevic, M; Erö, J; Fabjan, C; Friedl, M; Frühwirth, R; ",Measurement of the ratio of the production cross sections times branching fractions of B c±→ J/ψπ±and B±→ J/ψK±and $$\mathrm {\mathcal {B}}\left ({\mathrm {B}} _ {\mathrm {c}}^{\pm}\to\mathrm {J}/\psi {\pi}^{\pm}{\pi}^{\pm}{\pi}^{\mp}\right)/\mathrm {\mathcal {B}}\left ({\mathrm {B}} _ {\mathrm {c}}^{\pm}\to\mathrm {J}/\psi {\pi}^{\pm}\right) $$ in pp collisions at $$\sqrt {s}= 7$$ TeV,Journal of High Energy Physics,2015,1,1-30,2015,Springer
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Friedl, Markus; Fruehwirth, Rudolf; Ghete, Vasile Mihai; ",Search for the production of dark matter in association with top-quark pairs in the single-lepton final state in proton-proton collisions at $$\sqrt {s}= 8$$ TeV,Journal of High Energy Physics,2015,6,1-39,2015,Springer
"Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Bergauer, T; Dragicevic, M; Erö, J; Fabjan, C; Friedl, M; Frühwirth, R; ",Measurement of the ratio of the production cross sections times branching fractions of B±c→[J over ψπ±] and B±→[J over ψK±] and ℬ (B±c→[J over Ψ π±π±π∓[over ℬ (B±c→ J [over Ψ π±]) in pp collisions at√ s= 7 TeV,,,,,2015,Springer-Verlag
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Friedl, Markus; Fruehwirth, Rudolf; Ghete, Vasile Mihai; ","Search for physics beyond the standard model in events with two leptons, jets, and missing transverse momentum in pp collisions at $$\sqrt {s} $$= 8 TeV",Journal of High Energy Physics,2015,4,1-41,2015,Springer
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Friedl, Markus; Fruehwirth, Rudolf; Ghete, Vasile Mihai; ",Search for vector-like T quarks decaying to top quarks and Higgs bosons in the all-hadronic channel using jet substructure,Journal of High Energy Physics,2015,6,1-48,2015,Springer
"Belforte, S; Candelise, Vieri; Casarsa, M; Gobbo, B; LA LICATA, Chiara; Marone, Matteo; Schizzi, Andrea; Umer, Tomo; Zanetti, A; ",Search for third-generation scalar leptoquarks in the t-tau channel in proton-proton collisions at sqrt (s)= 8 TeV,JOURNAL OF HIGH ENERGY PHYSICS,2015,7,1-43,2015,
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Friedl, Markus; Fruehwirth, Rudolf; Ghete, Vasile Mihai; ",Measurement of the W boson helicity in events with a single reconstructed top quark in pp collisions at $$\sqrt {s}= 8$$ TeV,Journal of High Energy Physics,2015,1,1-35,2015,Springer
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Friedl, Markus; Fruehwirth, Rudolf; Ghete, Vasile Mihai; ",Measurement of the Zγ production cross section in pp collisions at 8 TeV and search for anomalous triple gauge boson couplings,Journal of High Energy Physics,2015,4,1-40,2015,Springer
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Search for third-generation scalar leptoquarks in the tτ channel in proton-proton collisions at $$\sqrt {s}= 8$$ TeV,Journal of High Energy Physics,2015,7,1-44,2015,Springer
"Masod, R; Gonzalez, D; Tosi, N; Carpinteyro, S; Martelli, A; Acosta, MV; Soha, A; Schmitt, M; Khachatryan, V; Radi, A; ","Search for third-generation scalar leptoquarks in the t tau channel in proton-proton collisions at root s= 8 TeV (vol 7, 042, 2015)",JOURNAL OF HIGH ENERGY PHYSICS,2016,11,,2016,SPRINGER
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Friedl, Markus; Fruehwirth, Rudolf; Ghete, Vasile Mihai; ",Search for disappearing tracks in proton-proton collisions at $$\sqrt {s}= 8$$ TeV,Journal of High Energy Physics,2015,1,1-43,2015,Springer
"Belforte, S; Candelise, Vieri; Casarsa, M; Gobbo, B; LA LICATA, Chiara; Marone, Matteo; Schizzi, Andrea; Umer, Tomo; Zanetti, A; ",Search for physics beyond the standard model in dilepton mass spectra in proton-proton collisions at sqrt (s)= 8 TeV,JOURNAL OF HIGH ENERGY PHYSICS,2015,4,1-48,2015,
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Search for supersymmetry in the vector-boson fusion topology in proton-proton collisions at $$\sqrt {s}= 8$$ TeV,Journal of High Energy Physics,2015,11,1-42,2015,Springer
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Search for a very light NMSSM Higgs boson produced in decays of the 125 GeV scalar boson and decaying into τ leptons in pp collisions at $$\sqrt {s}= 8$$ TeV,Journal of High Energy Physics,2016,1,1-46,2016,Springer
"Khachatryan, Vardan; Sirunyan, AM; Tumasyan, A; Adam, W; Asilar, E; Bergauer, T; Brandstetter, J; Brondolin, E; Dragicevic, M; Erö, J; ",Erratum to: Search for direct pair production of scalar top quarks in the single-and dilepton channels in proton-proton collisions at $$\sqrt {s}= 8$$ TeV,Journal of High Energy Physics,2016,9,1-20,2016,Springer
"Beluffi, Camille; Bondu, Olivier; Brochet, Sébastien; Bruno, Giacomo; Caudron, Adrien; Ceard, Ludivine; de Visscher, Simon; Delaere, Christophe; Delcourt, Martin; Forthomme, Laurent; ",Search for new physics with the MT2 variable in all-jets final states produced in pp collisions at sqrt (s)= 13 TeV,Journal of High Energy Physics,1610,,006,2016,
"CMS Collaboration; Khachatryan, V; ",Search for the Production of an Excited Bottom Quark Decaying to tW in Proton-Proton Collisions at√ s= 8 TeV (2015),arXiv preprint arXiv:1509.08141,,,,,
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Measurement of the mass of the top quark in decays with a J/ψ meson in pp collisions at 8 TeV,Journal of High Energy Physics,2016,12,1-39,2016,Springer
"Zeid, Shimaa Abu; Blekman, Freya; D'Hondt, Jorgen; Daci, Nadir; De Bruyn, Isabelle Helena; Deroover, Kevin; Heracleous, Natalie; Keaveney, James; Lowette, Steven; Moreels, Lieselotte; ",Search for excited leptons in proton-proton collisions at sqrt (s)= 8 TeV,The Journal of high energy physics,2016,03,125,2016,Springer Verlag
